day,vehicle,CA,CB,CC,CD,CE
1,1,CA6,CB2,CC7,CD2,CE8
1,2,CA6,CB2,CC6,CD5,CE9
1,3,CA5,CB2,CC4,CD1,CE8
1,4,CA8,CB2,CC6,CD3,CE8
1,5,CA6,CB2,CC3,CD3,CE8
1,6,CA4,CB1,CC2,CD2,CE6
1,7,CA6,CB2,CC2,CD3,CE3
1,8,CA1,CB3,CC7,CD3,CE4
1,9,CA3,CB2,CC7,CD2,CE7
1,10,CA6,CB2,CC5,CD3,CE6
1,11,CA3,CB2,CC3,CD3,CE4
1,12,CA6,CB1,CC2,CD3,CE6
1,13,CA4,CB2,CC6,CD3,CE9
1,14,CA1,CB2,CC7,CD2,CE6
1,15,CA3,CB2,CC5,CD3,CE8
1,16,CA6,CB2,CC6,CD3,CE6
1,17,CA6,CB2,CC1,CD3,CE6
1,18,CA6,CB2,CC4,CD2,CE6
1,19,CA6,CB3,CC6,CD6,CE9
1,20,CA6,CB2,CC7,CD3,CE9
1,21,CA4,CB3,CC2,CD3,CE6
1,22,CA8,CB1,CC2,CD3,CE7
1,23,CA4,CB2,CC6,CD3,CE8
1,24,CA4,CB2,CC2,CD5,CE7
1,25,CA8,CB3,CC1,CD3,CE4
1,26,CA7,CB2,CC5,CD3,CE6
1,27,CA6,CB3,CC2,CD6,CE7
1,28,CA1,CB1,CC2,CD3,CE8
1,29,CA8,CB1,CC2,CD3,CE2
1,30,CA6,CB2,CC2,CD5,CE3
1,31,CA8,CB2,CC2,CD3,CE2
1,32,CA1,CB2,CC6,CD5,CE4
1,33,CA8,CB3,CC4,CD3,CE9
1,34,CA2,CB2,CC7,CD3,CE9
1,35,CA6,CB1,CC2,CD5,CE6
1,36,CA1,CB3,CC4,CD6,CE6
1,37,CA8,CB3,CC7,CD3,CE6
1,38,CA7,CB3,CC6,CD5,CE7
1,39,CA6,CB2,CC5,CD2,CE3
1,40,CA4,CB2,CC2,CD3,CE9
1,41,CA1,CB3,CC7,CD2,CE8
1,42,CA6,CB2,CC6,CD5,CE6
1,43,CA4,CB3,CC7,CD3,CE6
1,44,CA6,CB2,CC6,CD3,CE1
1,45,CA8,CB2,CC6,CD3,CE8
1,46,CA8,CB2,CC4,CD5,CE7
1,47,CA8,CB1,CC6,CD6,CE2
1,48,CA1,CB2,CC7,CD2,CE2
1,49,CA4,CB2,CC7,CD3,CE7
1,50,CA7,CB2,CC4,CD3,CE6
1,51,CA2,CB2,CC2,CD5,CE8
1,52,CA5,CB2,CC7,CD6,CE4
1,53,CA1,CB3,CC6,CD5,CE9
1,54,CA2,CB2,CC2,CD3,CE6
1,55,CA1,CB2,CC6,CD5,CE9
1,56,CA7,CB2,CC2,CD5,CE6
1,57,CA2,CB2,CC2,CD3,CE6
1,58,CA4,CB1,CC4,CD3,CE2
1,59,CA8,CB1,CC2,CD3,CE8
1,60,CA6,CB2,CC6,CD2,CE7
1,61,CA1,CB2,CC2,CD3,CE9
1,62,CA2,CB2,CC2,CD2,CE7
1,63,CA6,CB1,CC2,CD3,CE9
1,64,CA6,CB3,CC2,CD3,CE8
1,65,CA2,CB2,CC4,CD3,CE3
1,66,CA8,CB2,CC6,CD3,CE7
1,67,CA6,CB2,CC5,CD5,CE6
1,68,CA5,CB2,CC2,CD6,CE2
1,69,CA6,CB2,CC5,CD3,CE8
1,70,CA7,CB2,CC7,CD3,CE8
1,71,CA3,CB2,CC3,CD3,CE8
1,72,CA4,CB2,CC2,CD2,CE2
1,73,CA2,CB3,CC4,CD3,CE8
1,74,CA2,CB2,CC7,CD6,CE7
1,75,CA8,CB2,CC2,CD5,CE3
1,76,CA7,CB2,CC6,CD3,CE8
1,77,CA4,CB3,CC7,CD5,CE9
1,78,CA2,CB3,CC5,CD6,CE7
1,79,CA2,CB3,CC5,CD6,CE9
1,80,CA1,CB1,CC5,CD3,CE6
1,81,CA4,CB3,CC7,CD3,CE6
1,82,CA3,CB1,CC3,CD3,CE6
1,83,CA6,CB2,CC4,CD3,CE8
1,84,CA4,CB2,CC4,CD3,CE4
1,85,CA2,CB1,CC3,CD6,CE8
1,86,CA1,CB2,CC5,CD5,CE2
1,87,CA1,CB2,CC5,CD3,CE6
1,88,CA6,CB3,CC5,CD3,CE9
1,89,CA4,CB2,CC2,CD6,CE3
1,90,CA5,CB2,CC7,CD6,CE8
1,91,CA8,CB2,CC4,CD1,CE5
1,92,CA8,CB2,CC7,CD2,CE6
1,93,CA2,CB3,CC7,CD3,CE6
1,94,CA6,CB2,CC4,CD6,CE6
1,95,CA2,CB3,CC7,CD6,CE9
1,96,CA1,CB2,CC2,CD3,CE3
1,97,CA7,CB3,CC4,CD5,CE9
1,98,CA3,CB1,CC2,CD3,CE9
1,99,CA4,CB2,CC4,CD3,CE9
1,100,CA6,CB3,CC2,CD2,CE7
1,101,CA7,CB2,CC5,CD1,CE8
1,102,CA6,CB2,CC4,CD3,CE6
1,103,CA8,CB2,CC7,CD1,CE6
1,104,CA2,CB3,CC4,CD3,CE3
1,105,CA7,CB2,CC7,CD6,CE6
1,106,CA2,CB2,CC2,CD1,CE9
1,107,CA8,CB2,CC3,CD2,CE3
1,108,CA6,CB1,CC5,CD5,CE8
1,109,CA2,CB1,CC6,CD2,CE9
1,110,CA8,CB2,CC5,CD5,CE8
1,111,CA7,CB2,CC4,CD2,CE7
1,112,CA2,CB1,CC4,CD3,CE9
1,113,CA2,CB2,CC4,CD3,CE9
1,114,CA5,CB3,CC6,CD3,CE9
1,115,CA1,CB2,CC2,CD3,CE8
1,116,CA2,CB3,CC6,CD5,CE3
